addr:street	addr:housenumber	addr:postcode
Rajska	1	31-124
Jana Kurczaba	6	30-868
Jana Kurczaba	25	31-868
Leonida Teligi	8	30-835
Aleksandry	9A	30-837
Lilli Wenedy	15	30-833
Lilli Wenedy	11	30-833
Lilli Wenedy	3	30-833
Alberta Schweitzera	3	30-695
Ludwika Rydygiera	11	30-695
Ludwika Rydygiera	12	30-695
Białoruska	15	30-638
Westerplatte	19	31-033
Plac Szczepański	4	31-011
Plac Szczepański	3a	31-011
Floriańska	45	31-019
Gołębia	18	31-007
Plac Szczepański	1	31-011
Rynek Główny	7	31-042
Rynek Główny	29	31-008
Rynek Główny	30	31-008
Rynek Główny	32	31-008
Rynek Główny	37	31-013
Rynek Główny	38	31-013
Rynek Główny	40	31-013
Marszałka Józefa Piłsudskiego	27	31-111
Krupnicza	42	31-123
Centralna	36	31-586
Księdza Ignacego Jana Skorupki	13	31-519
Heleny	2	30-838
Wąwozowa	34	31-752
Gustawa Morcinka	13	31-762
Gustawa Morcinka	15	31-762
Gustawa Morcinka	11	31-762
Gustawa Morcinka	17	31-762
Gustawa Morcinka	9	31-762
Gustawa Morcinka	23	31-762
Kocmyrzowska	13a	31-750
Kornela Makuszyńskiego	13	31-753
Zakopiańska	58D	30-418
Zakopiańska	58C	30-418
Gustawa Ehrenberga	3	31-319
Walerego Eliasza Radzikowskiego	39A	31-315
Walerego Eliasza Radzikowskiego	51	31-315
Walerego Eliasza Radzikowskiego	51a	31-305
Słowicza	17B	31-320
Słowicza	23	31-320
Słowicza	15B	31-320
Stanisława Fishera	36	31-321
Słowicza	11	31-320
Krowoderskich Zuchów	19	31-271
Opolska	11	31-275
Krowoderskich Zuchów	5	31-271
Krowoderskich Zuchów	3a	31-271
Marszałka Józefa Piłsudskiego	29	31-111
Generała Augusta Fieldorfa-Nila	7	31-209
Generała Augusta Fieldorfa-Nila	5	31-209
Kluczborska	20	31-271
Księdza Kazimierza Siemaszki	27A	31-207
Mikołaja Reja	12	31-216
Ludwika Solskiego	1	31-216
Ludwika Solskiego	4	31-216
Ludwika Solskiego	8A	31-216
Księdza Kazimierza Siemaszki	24	31-207
Aleja 29 Listopada	56A	31-425
Macieja Miechowity	15a	31-475
XX Pijarów	7	31-466
Mirosława Dzielskiego	2	31-465
Pilotów	22	31-462
XX Pijarów	2	31-466
XX Pijarów	1	31-466
Aleja Jana Pawła II	39A	31-864
Dobrego Pasterza	116a	31-416
Generała Tadeusza Bora-Komorowskiego	9a	31-876
Generała Tadeusza Bora-Komorowskiego	15b	31-876
Generała Tadeusza Bora-Komorowskiego	33	31-876
Dobrego Pasterza	109a	31-416
Do Fortu	4	31-644
Bohdana Zaleskiego	45	31-525
Bohdana Zaleskiego	43	31-525
Bohdana Zaleskiego	47	31-525
Mogilska	68	31-523
Bohdana Zaleskiego	39	31-525
Bohdana Zaleskiego	35	31-525
Bohdana Zaleskiego	31	31-525
Bohdana Zaleskiego	27	31-525
Grunwaldzka	5	31-526
Bohdana Zaleskiego	23	31-525
Kielecka	9	31-526
Mogilska	86	31-546
Grunwaldzka	10	31-526
Bohdana Zaleskiego	26	31-525
Bohdana Zaleskiego	38	31-525
Grunwaldzka	9	31-526
Bohdana Zaleskiego	36	31-525
Bohdana Zaleskiego	44	31-525
Bohdana Zaleskiego	24	31-525
Bohdana Zaleskiego	22	31-525
Bohdana Zaleskiego	32	31-525
Bohdana Zaleskiego	34	31-525
Bohdana Zaleskiego	40	31-525
Bohdana Zaleskiego	42	31-525
Stanisława Moniuszki	41a	31-523
Stanisława Moniuszki	41	31-523
Stanisława Moniuszki	43	31-523
Grunwaldzka	15	31-524
Jana Kasprowicza	13	31-523
Grunwaldzka	12	31-526
Jana Kasprowicza	11	31-523
Wielopole	18a	31-072
Centralna	41	31-586
Centralna	53	31-586
Aleja Pokoju	78	31-564
Centralna	30	31-586
Centralna	41C	31-586
Centralna	40C	31-586
Centralna	41B	31-586
Centralna	40A	31-586
Centralna	45	31-586
Centralna	40B	31-586
Centralna	49	31-586
Centralna	43A	31-586
Centralna	50	31-586
Kamionka	8	31-586
Kamionka	10	31-586
Kamionka	4	31-586
Sołtysowska	25B	31-589
Kamionka	6	31-586
Kamionka	2	31-586
Kamionka	11A	31-586
Nowohucka	1A	31-580
Sołtysowska	15	31-589
Sołtysowska	27	31-589
Centralna	51 b	31-586
Na Łąkach	18	31-586
Aleja Pokoju	30	31-564
Aleja Pokoju	24	31-564
Aleja Pokoju	32A	31-564
Aleja Pokoju	32	31-564
Aleja Pokoju	26	31-564
Aleja Pokoju	22	31-564
Aleja Pokoju	28	31-564
Widok	2A	31-564
Widok	10A	31-564
Woźniców	1	31-982
Konstantego Ildefonsa Gałczyńskiego	36	31-581
Na Łąkach	20	31-586
Michała Siedleckiego	7	31-538
Woźniców	16	31-982
Woźniców	9	31-982
Woźniców	15	31-982
Woźniców	23	31-982
Woźniców	20	31-982
Woźniców	14	31-982
Woźniców	10	31-982
Woźniców	11	31-982
Woźniców	4	31-982
Woźniców	26	31-982
Woźniców	7	31-982
Woźniców	6	31-982
Woźniców	21	31-982
Śliwkowa	4	31-982
Woźniców	28	31-982
Woźniców	3	31-982
Woźniców	13A	31-982
Woźniców	8a	31-982
Woźniców	14A	31-982
Woźniców	12A	31-982
Woźniców	18A	31-982
Woźniców	24	31-982
Woźniców	5	31-982
Woźniców	13	31-982
Sołtysowska	13A	31-589
Sołtysowska	13	31-589
Sołtysowska	13B	31-589
Sołtysowska	13D	31-589
Sołtysowska	13C	31-589
Sikorki	17	31-589
Sikorki	25	31-589
Sikorki	35	31-589
Sikorki	21A	31-589
Sikorki	23	31-589
Sikorki	33	31-589
Sikorki	2	31-589
Sikorki	21	31-589
Sikorki	23A	31-589
Sikorki	19	31-589
Sikorki	21B	31-589
Kuźnicy Kołłątajowskiej	14	31-234
Kuźnicy Kołłątajowskiej	34	31-234
Kuźnicy Kołłątajowskiej	23F	31-234
Kuźnicy Kołłątajowskiej	23G	31-234
Kuźnicy Kołłątajowskiej	23H	31-234
Kuźnicy Kołłątajowskiej	23E	31-234
Kuźnicy Kołłątajowskiej	23c	31-234
Kuźnicy Kołłątajowskiej	46	31-234
Kuźnicy Kołłątajowskiej	11a	31-234
Kuźnicy Kołłątajowskiej	5	31-234
Kuźnicy Kołłątajowskiej	17E	31-234
Kuźnicy Kołłątajowskiej	10	31-234
Kuźnicy Kołłątajowskiej	13	31-220
Kuźnicy Kołłątajowskiej	10A	31-234
Adama Marczyńskiego	8	31-231
Adama Marczyńskiego	3	31-231
Macieja Słomczyńskiego	14	31-234
Macieja Słomczyńskiego	12	31-234
Adama Marczyńskiego	6	31-231
Macieja Słomczyńskiego	2	31-234
Adama Marczyńskiego	5	31-231
Macieja Słomczyńskiego	18	31-234
Adama Marczyńskiego	4	31-231
Adama Marczyńskiego	2	31-231
Macieja Słomczyńskiego	10	31-234
Macieja Słomczyńskiego	8	31-234
Macieja Słomczyńskiego	6	31-234
Macieja Słomczyńskiego	16	31-234
Adama Marczyńskiego	7	31-231
Macieja Słomczyńskiego	4	31-234
Adama Marczyńskiego	1	31-231
Kuźnicy Kołłątajowskiej	82	31-234
Władysława Natansona	34	31-234
Kuźnicy Kołłątajowskiej	44	31-234
Kuźnicy Kołłątajowskiej	31B	31-234
Kuźnicy Kołłątajowskiej	80a	31-234
Stanisława Kostki Potockiego	29	31-236
Kuźnicy Kołłątajowskiej	42	31-234
Aleja 29 Listopada	178A	31-236
Kuźnicy Kołłątajowskiej	24	31-234
Kuźnicy Kołłątajowskiej	31	31-234
Kuźnicy Kołłątajowskiej	22	31-234
Kuźnicy Kołłątajowskiej	20	31-234
Władysława Natansona	31A	31-234
Księdza Józefa Meiera	3	31-236
Księdza Józefa Meiera	5	31-236
Siewna	23D	31-231
Księdza Józefa Meiera	11	31-236
Księdza Józefa Meiera	20	31-236
Księdza Józefa Meiera	26	31-236
Księdza Józefa Meiera	10	31-236
Aleja 29 Listopada	165	31-236
Księdza Józefa Meiera	20A	31-236
Księdza Józefa Meiera	18B	31-236
Księdza Józefa Meiera	8	31-236
Księdza Józefa Meiera	16	31-236
Arcybiskupa Zygmunta Szczęsnego Felińskiego	6	31-236
Ignacego Grabczaka	6	31-236
Księdza Józefa Meiera	12	31-236
Arcybiskupa Zygmunta Szczęsnego Felińskiego	4	31-236
Księdza Józefa Meiera	9	31-236
Arcybiskupa Zygmunta Szczęsnego Felińskiego	10	31-236
Arcybiskupa Zygmunta Szczęsnego Felińskiego	8	31-236
Księdza Józefa Meiera	18A	31-236
Księdza Józefa Meiera	24	31-236
Księdza Józefa Meiera	14	31-236
Arcybiskupa Zygmunta Szczęsnego Felińskiego	12	31-236
Górka Narodowa	118	31-234
Arcybiskupa Zygmunta Szczęsnego Felińskiego	15	31-236
Arcybiskupa Zygmunta Szczęsnego Felińskiego	17	31-236
Księdza Józefa Meiera	20D	31-236
Arcybiskupa Zygmunta Szczęsnego Felińskiego	17A	31-236
Górka Narodowa	116	31-234
Górka Narodowa	112	31-234
Górka Narodowa	118A	31-234
Arcybiskupa Zygmunta Szczęsnego Felińskiego	19	31-236
Księdza Józefa Meiera	20C	31-236
Księdza Józefa Meiera	20E	31-236
Józefa Mackiewicza	14	31-214
Generała Augusta Fieldorfa-Nila	3	31-209
Aleja Jana Pawła II	188	31-982
Aleja Jana Pawła II	190	31-982
Biskupa Filipa Padniewskiego	16	31-982
Biskupa Filipa Padniewskiego	6	31-982
Biskupa Filipa Padniewskiego	4	31-982
Biskupa Filipa Padniewskiego	18	31-982
Biskupa Filipa Padniewskiego	10	31-982
Biskupa Filipa Padniewskiego	14	31-982
Lasówka	40	30-718
Nowohucka	49	30-728
Nowohucka	43	30-728
Nowohucka	45	30-728
Lasówka	42	30-718
Nowohucka	51a	30-728
Nowohucka	39	30-728
Nowohucka	35	30-717
Koszykarska	31A	30-717
Nowohucka	33	30-717
Nowohucka	41	30-728
Lasówka	44	30-718
Nowohucka	51	30-728
Koszykarska	33	30-717
Koszykarska	21	30-717
Księdza Wincentego Turka	27	30-717
Obrońców Modlina	2	30-733
Obrońców Modlina	4	30-733
Przewóz	34b	30-716
Przewóz	34c	30-716
Sołtysowska	35B	31-589
Sołtysowska	35	31-589
Sikorki	3	31-589
Sołtysowska	37A	31-589
Sołtysowska	39a	31-589
Sołtysowska	28	31-589
Sołtysowska	24	31-589
Sołtysowska	28	31-589
Sołtysowska	26	31-589
Sołtysowska	37B	31-589
Sołtysowska	19	31-589
Sołtysowska	17	31-589
Sołtysowska	21	31-589
Sołtysowska	25	31-589
Sołtysowska	16	31-589
Sołtysowska	32	31-589
Sołtysowska	18	31-589
Sołtysowska	33	31-589
Sołtysowska	40	31-589
Sołtysowska	36	31-589
Sołtysowska	30	31-589
Sołtysowska	1	31-589
Na Załęczu	1	31-587
Sołtysowska	29	31-589
Sołtysowska	34	31-589
Sołtysowska	38	31-589
Na Łąkach	24	31-586
Sołtysowska	45	31-589
Sołtysowska	41	31-589
Sołtysowska	39	31-589
Sołtysowska	22A	31-589
Sikorki	31	31-589
Przewóz	42	30-716
Masarska	3	31-534
Rzeźnicza	11	31-540
Aleja Pokoju	57	31-564
Aleja Pokoju	51	31-564
Sierpowa	3	31-573
Sierpowa	6	31-573
Aleja Pokoju	63A	31-564
Aleja Pokoju	63	31-564
Józefa Brodowicza	13	31-234
Bieńczycka	15A	31-860
Pułkownika Francesco Nullo	8	31-543
Pułkownika Francesco Nullo	8A	31-543
Mikołaja Kopernika	26	31-501
Aleja Jana Pawła II	72	31-571
Kazimierza Chałupnika	14	31-464
Kazimierza Chałupnika	14	31-464
Alberta Schweitzera	4	30-695
Mikołaja Kopernika	19A	31-501
Jana i Jędrzeja Śniadeckich	12b	31-531
Helclów	2	31-148
Storczykowa	4	30-612
Michała Żaka	15	30-612
Michała Żaka	17	30-612
Mosiężnicza	2	31-547
Daliowa	4	30-612
Generała Juliana Filipowicza	4	30-611
Generała Juliana Filipowicza	6	30-611
Generała Juliana Filipowicza	12	30-611
Generała Juliana Filipowicza	8	30-611
Generała Juliana Filipowicza	10	30-611
Franciszka Bujaka	12A	30-611
Franciszka Bujaka	12B	30-611
Franciszka Bujaka	6B	30-611
Pagórkowa	17	30-614
Pagórkowa	21	30-614
Franciszka Bujaka	6A	30-611
Franciszka Bujaka	12C	30-611
Pagórkowa	19	30-614
Daliowa	8	30-612
Łowienicka	10	30-613
Łowienicka	12	30-613
Marii i Bolesława Wysłouchów	17	30-611
Łowienicka	14	30-613
Marii i Bolesława Wysłouchów	11	30-611
Łowienicka	4	30-613
Łowienicka	6	30-613
Łowienicka	8	30-613
Marii i Bolesława Wysłouchów	27	30-611
Storczykowa	7	30-612
Storczykowa	7A	30-612
Marii i Bolesława Wysłouchów	47	30-611
Jakuba Bojki	4	30-611
Marii i Bolesława Wysłouchów	34	30-611
Marii i Bolesława Wysłouchów	34A	30-611
Niepokalanej Marii Panny	43	31-589
Niepokalanej Marii Panny	41	31-589
Aleja Jana Pawła II	39	31-864
Kornela Makuszyńskiego	9	31-752
Cienista	53	31-831
Kantorowicka	279	32-010
Kantorowicka	277	32-010
Gustawa Morcinka	23D	31-762
Gustawa Morcinka	5	31-762
Gustawa Morcinka	23C	31-762
Łukasza Górnickiego	13A	31-222
Twardowskiego	55	30-312
Bosaków	7	31-476
Zachodnia	25	30-350
Twardowskiego	41	30-312
Szwedzka	48	30-312
Kobierzyńska	175	30-382
Kobierzyńska	183E	30-382
Biskupa Piotra Tomickiego	13a	31-982
Twardowskiego	44	30-312
Twardowskiego	42	30-312
Mieszczańska	4	30-313
Mieszczańska	12	30-313
Tadeusza Ptaszyckiego	6	31-979
Twardowskiego	25	30-312
Mieszczańska	3	30-313
Mieszczańska	15	30-313
Mieszczańska	5a	30-313
Mieszczańska	7	30-313
Mieszczańska	17	30-313
Wacława Sieroszewskiego	3	31-908
Wacława Sieroszewskiego	5	31-908
Raciborska	20	30-384
Wadowicka	8i	30-415
Wadowicka	10	30-415
Wadowicka	8g	30-415
Wadowicka	4	30-415
Zygmunta Miłkowskiego	19	30-349
Zygmunta Miłkowskiego	21A	30-349
Klasztorna	2b	31-979
Klasztorna	2d	31-979
Klasztorna	2	31-979
Klasztorna	2a	31-979
Klasztorna	2c	31-979
Powstańców	66	31-670
Mieczysława Pszona	1	31-462
Mieczysława Pszona	5	31-462
Mieczysława Pszona	3	31-462
Fiołkowa	15	31-457
Fiołkowa	21	31-457
Ugorek	10	31-457
Fiołkowa	1	31-457
Fiołkowa	13	31-457
Ułanów	29	31-455
Klemensa Janickiego	4	31-443
Ułanów	44a	31-450
Łąkowa	25	31-443
Janusza Meissnera	17	31-457
Klemensa Janickiego	6	31-443
Łąkowa	27	31-446
Janusza Meissnera	21	31-457
Ułanów	44B	31-450
Klemensa Janickiego	1	31-443
Janusza Meissnera	19	31-457
Łąkowa	15	31-443
Ułanów	64a	31-460
Ułanów	76	31-460
Mirosława Dzielskiego	6a	31-465
XX Pijarów	12	31-466
Wysoka	7	31-460
Wysoka	4	31-460
Ułanów	80	31-460
Pilotów	87	31-462
Wysoka	3	31-460
Ułanów	72	31-460
Pilotów	95	31-462
Wysoka	6	31-460
Ułanów	78	31-460
Pilotów	89	31-462
Pilotów	62	31-462
Ułanów	64c	31-460
Wysoka	9	31-460
Wysoka	8	31-460
Wysoka	5	31-460
Ułanów	74	31-460
Pilotów	97	31-462
Pilotów	6	31-462
Wysoka	10	31-460
Pilotów	6A	31-462
Pilotów	93	31-462
Ułanów	62	31-460
Pilotów	85	31-462
Ułanów	66	31-460
Młyńska Boczna	11	31-470
Igołomska	25	31-983
Mrozowa	4	31-752
Ujastek	7	31-752
Ujastek	7	31-752
Ujastek	7A	31-752
Ujastek	5b	31-752
Mrozowa	1	31-752
Opolska	14	31-323
Śliczna	26	31-444
Ładna	16	31-444
Ładna	18	31-444
Ogrodnicza	3	31-444
Ładna	22	31-444
Ogrodnicza	9	31-444
Śliczna	1	31-444
Śliczna	3	31-444
Ładna	14	31-444
Śliczna	5	31-444
Śliczna	5a	31-444
Ładna	20	31-444
Janusza Meissnera	38	31-457
Janusza Meissnera	40	31-457
Janusza Meissnera	42	31-457
Janusza Meissnera	36	31-457
Janusza Meissnera	44	31-457
Janusza Meissnera	38a	31-457
Janusza Meissnera	34	31-457
Ładna	25	31-444
Ogrodnicza	13	31-444
Ładna	17	31-444
Ogrodnicza	17	31-444
Ładna	27	31-444
Ogrodnicza	19	31-444
Ładna	23	31-444
Ogrodnicza	15	31-444
Ładna	19	31-444
Ładna	21	31-444
Ostatnia	1b	31-444
Ładna	7	31-444
Ładna	13	31-444
Ostatnia	5	31-444
Szkółkowa	8	31-444
Ogrodnicza	18	31-444
Ogrodnicza	22	31-444
Ogrodnicza	16	31-444
Ostatnia	1	31-444
Ogrodnicza	20	31-444
Ostatnia	7	31-444
Ostatnia	3	31-444
Szkółkowa	6	31-444
Ładna	3	31-444
Ładna	5	31-444
Ładna	11	31-444
Szkółkowa	4	31-444
Ładna	9	31-444
Ostatnia	24	31-444
Ostatnia	18	31-444
Ostatnia	22	31-444
Ostatnia	2a	31-444
Ostatnia	6	31-444
Ostatnia	20	31-444
Ostatnia	16	31-444
Ostatnia	2b	31-444
Ostatnia	6a	31-444
Ostatnia	2	31-444
Ostatnia	4	31-444
Ładna	4	31-444
Ładna	10	31-444
Ładna	2	31-444
Ostatnia	17	31-444
Śliczna	15	31-444
Ogrodnicza	8a	31-444
Ogrodnicza	10	31-444
Ostatnia	15	31-444
Ostatnia	13	31-444
Ostatnia	21	31-444
Ładna	6	31-444
Ostatnia	19	31-444
Śliczna	11	31-444
Śliczna	17	31-444
Ładna	8	31-444
Śliczna	13	31-444
Ładna	12	31-444
Ładna	1	31-444
Ostatnia	20a	31-444
Krupnicza	10	31-123
Bohdana Zaleskiego	8	31-525
Bohdana Zaleskiego	6	31-525
Józefa Narzymskiego	9	31-463
Józefa Narzymskiego	23	31-463
Józefa Narzymskiego	21	31-463
Mogilska	16	31-516
Mogilska	18	31-516
Mogilska	11	31-523
Józefa Narzymskiego	11	31-463
Józefa Narzymskiego	13	31-463
Józefa Narzymskiego	15	31-463
Józefa Narzymskiego	17	31-463
Józefa Narzymskiego	19	31-463
Lotnicza	10	31-462
Lotnicza	12	31-462
Lotnicza	14	31-462
Lotnicza	14a	31-462
Lotnicza	14b	31-462
Lotnicza	16	31-462
Lotnicza	18	31-462
Kryniczna	15	31-463
Lotnicza	1	31-462
Lotnicza	24	31-462
Józefa Narzymskiego	22	31-463
Józefa Narzymskiego	22b	31-463
Łukasza Cieplińskiego	54	31-429
Łukasza Cieplińskiego	56	31-429
Łukasza Cieplińskiego	48	31-429
Łukasza Cieplińskiego	46	31-429
Łukasza Cieplińskiego	44	31-429
Łukasza Cieplińskiego	42	31-429
Łukasza Cieplińskiego	40	31-429
Łukasza Cieplińskiego	38	31-429
Łukasza Cieplińskiego	36	31-429
Łukasza Cieplińskiego	36a	31-429
Łukasza Cieplińskiego	34	31-429
Łukasza Cieplińskiego	32	31-429
Łukasza Cieplińskiego	28	31-429
Ignacego Łukasiewicza	2	31-429
Sudolska	7a	31-423
Sudolska	7	31-423
Jakuba Majora	5a	31-422
Kantorowicka	199	31-763
Kantorowicka	201	31-763
Kantorowicka	207	31-763
Kantorowicka	203a	31-763
Kantorowicka	257	32-010
Józefa Dietla	109	31-031
Józefa Dietla	107	31-031
Wrzesińska	6	31-031
Józefa Dietla	101	31-031
Józefa Dietla	103	31-031
Józefa Dietla	111	31-031
Józefa Dietla	99	31-031
Wrzesińska	4	31-031
Wrzesińska	8	31-031
Niepokalanej Marii Panny	1	31-589
Koszalińska	21	30-407
Kołobrzeska	14	30-406
Kędzierzyńska	12	30-406
Borsucza	6	30-408
Zielonogórska	13	30-408
Kołobrzeska	6	30-406
Kędzierzyńska	8	30-406
Kędzierzyńska	4	30-406
Zielonogórska	11	30-408
Teofila Lenartowicza	11	31-138
Teofila Lenartowicza	5	31-138
Teofila Lenartowicza	9	31-138
Teofila Lenartowicza	1	31-138
Teofila Lenartowicza	3	31-138
Teofila Lenartowicza	7	31-138
Karmelicka	43	31-128
Jana Sobieskiego	22	31-136
Krowoderska	66	31-158
Siostry Faustyny	15B	30-608
Aleja Pokoju	89A	31-564
Dożynkowa	61	31-234
Mały Płaszów	12	30-720
Mały Płaszów	16	30-720
Golikówka	4	30-723
Mały Płaszów	4	30-720
Golikówka	6	30-723
Mały Płaszów	6	30-720
Golikówka	6b	30-723
Golikówka	7	30-723
Mały Płaszów	7	30-720
Aleja Pokoju	62	31-564
Złocieniowa	42	30-798
Złocieniowa	44	30-798
Opalowa	4	30-798
Opalowa	2	30-798
Złocieniowa	40	30-798
Opalowa	6	30-798
Topazowa	5	30-798
Topazowa	7	30-798
Topazowa	6	30-798
Topazowa	8	30-798
Agatowa	18	30-798
Topazowa	3	30-798
Nefrytowa	27	30-798
Nefrytowa	26	30-798
Złocieniowa	37	30-798
Stoczniowców	3	30-709
Nefrytowa	13	30-798
Złocieniowa	35	30-798
Nefrytowa	23	30-798
Złocieniowa	33	30-798
Malachitowa	9	30-798
Malachitowa	11	30-798
Malachitowa	7	30-798
Malachitowa	5	30-798
Nefrytowa	4	30-798
Nefrytowa	1	30-798
Plac Generała Władysława Sikorskiego	4	31-115
Podwale	3	31-118
Plac Generała Władysława Sikorskiego	2	31-115
Czarnowiejska	8	31-126
Plac Generała Władysława Sikorskiego	3	31-115
Józefa Szujskiego	2	31-123
Karmelicka	40	31-128
Profesora Wojciecha Marii Bartla	19D	30-389
Tadeusza Pawlikowskiego	9	31-127
Tadeusza Pawlikowskiego	5	31-127
Tadeusza Pawlikowskiego	6	31-127
Tadeusza Pawlikowskiego	4	31-127
Ambrożego Grabowskiego	8	31-126
Jana Kochanowskiego	19	31-127
Piotra Michałowskiego	9	31-126
Jana Kochanowskiego	23	31-127
Tadeusza Pawlikowskiego	12	31-127
Tadeusza Pawlikowskiego	16	31-127
Jana Kochanowskiego	21	31-127
Tadeusza Pawlikowskiego	14	31-127
Jana Kochanowskiego	11	31-127
Tadeusza Pawlikowskiego	8	31-127
Stanisława Kostki Potockiego	26	31-234
Henryka Pachońskiego	28	31-231
Henryka Pachońskiego	30	31-231
Bociana	19	31-231
Bociana	8	31-231
Profesora Adama Rożańskiego	32	32-085
Jana Kochanowskiego	16	31-127
Jana Kochanowskiego	14	31-127
Czarnowiejska	13	31-126
Jana Kochanowskiego	20	31-127
Jana Kochanowskiego	22	31-127
Jana Kochanowskiego	24	31-127
Czarnowiejska	23	31-126
Czarnowiejska	21	31-126
Jana Kochanowskiego	18	31-127
Jana Kochanowskiego	26	31-127
Jana Kochanowskiego	28	31-127
Czarnowiejska	25	31-126
Wenecja	2	31-117
Wenecja	2b	31-117
Jabłonowskich	4	31-114
Jabłonowskich	8	31-114
Marszałka Józefa Piłsudskiego	17	31-110
Czapskich	3	31-110
Garncarska	26	31-115
Plac Generała Władysława Sikorskiego	10	31-115
Plac Generała Władysława Sikorskiego	14	31-115
Marszałka Józefa Piłsudskiego	19	31-110
Marszałka Józefa Piłsudskiego	23	31-110
Marszałka Józefa Piłsudskiego	21	31-110
Kremerowska	14	31-130
Stefana Batorego	5	31-135
Lubicz	48	31-512
Gołaśka	39	30-619
Ciesielska	17	30-419
Powstańców Wielkopolskich	18	30-553
Zakopiańska	73	30-418
Koszalińska	7	30-407
Cegielniana	16	30-404
Borsucza	24	30-408
Borsucza	20	30-408
Borsucza	30	30-408
Kołobrzeska	5	30-406
Kołobrzeska	2	30-406
Plac Łagiewnicki	1	30-407
Plac Łagiewnicki	6	30-407
Plac Łagiewnicki	7	30-407
Nowotarska	10	30-404
Kołobrzeska	7A	30-406
Nowotarska	8	30-404
Zielonogórska	9	30-408
Zielonogórska	6	30-408
Zielonogórska	8	30-408
Zielonogórska	7	30-408
Zielonogórska	4	30-408
Jana Lechonia	17	31-234
Jana Lechonia	18	31-234
Jana Lechonia	8	31-234
Kazimierza Herwina-Piątka	13	31-234
Kazimierza Herwina-Piątka	17	31-234
Jana Lechonia	14	31-234
Jana Lechonia	4	31-234
Kazimierza Herwina-Piątka	9	31-234
Jana Lechonia	20	31-234
Stanisława Rokosza	23	31-234
Jana Lechonia	7	31-234
Jana Lechonia	23	31-234
Stanisława Rokosza	19	31-234
Jana Lechonia	3	31-234
Jana Lechonia	11	31-234
Jana Lechonia	19	31-234
Kazimierza Herwina-Piątka	25	31-234
Jana Lechonia	15	31-234
Jana Lechonia	16	31-234
Jana Lechonia	10	31-234
Stanisława Rokosza	29	31-234
Kazimierza Herwina-Piątka	15	31-234
Jana Lechonia	6	31-234
Kazimierza Herwina-Piątka	11	31-234
Jana Lechonia	22	31-234
Stanisława Rokosza	25	31-234
Jana Lechonia	9	31-234
Kazimierza Herwina-Piątka	23	31-234
Stanisława Rokosza	21	31-234
Jana Lechonia	5	31-234
Jana Lechonia	13	31-234
Jana Lechonia	21	31-234
Jana Lechonia	12	31-234
Jana Lechonia	1	31-234
Narciarska	10	31-579
Narciarska	12	31-579
Narciarska	14	31-579
Konstantego Ildefonsa Gałczyńskiego	15	31-581
Konstantego Ildefonsa Gałczyńskiego	17	31-581
Narciarska	18	31-579
Konstantego Ildefonsa Gałczyńskiego	19	31-581
Narciarska	20	31-579
Konstantego Ildefonsa Gałczyńskiego	21	31-581
Narciarska	22	31-579
Konstantego Ildefonsa Gałczyńskiego	23	31-581
Narciarska	24	31-579
Konstantego Ildefonsa Gałczyńskiego	25	31-581
Narciarska	26	31-579
Konstantego Ildefonsa Gałczyńskiego	27	31-581
Konstantego Ildefonsa Gałczyńskiego	29	31-581
Konstantego Ildefonsa Gałczyńskiego	31	31-581
Konstantego Ildefonsa Gałczyńskiego	33	31-581
Narciarska	8	31-579
Poleska	1	31-580
Narciarska	17	31-579
Dolna	2	31-579
Dolna	2A	31-579
Dolnomłyńska	3	31-580
Strumyk	5	31-580
Dolnomłyńska	6	31-580
Dolnomłyńska	8	31-580
Dolnomłyńska	13	31-580
Dolnomłyńska	15	31-580
Dolna	4A	31-579
Dolna	12	31-579
Juliana Tuwima	1	31-581
Juliana Tuwima	10	31-581
Nastrojowa	10	31-581
Juliana Tuwima	11	31-581
Kwiatów Polskich	11	31-581
Juliana Tuwima	12	31-581
Juliana Tuwima	13	31-581
Kwiatów Polskich	13	31-581
Juliana Tuwima	14	31-581
Juliana Tuwima	15	31-581
Kwiatów Polskich	15	31-581
Juliana Tuwima	17	31-581
Kwiatów Polskich	17	31-581
Juliana Tuwima	19	31-581
Kwiatów Polskich	19	31-581
Nastrojowa	2	31-581
Juliana Tuwima	21	31-581
Kwiatów Polskich	21	31-581
Juliana Tuwima	3	31-581
Nastrojowa	4	31-581
Juliana Tuwima	5	31-581
Nastrojowa	6	31-581
Juliana Tuwima	7	31-581
Kwiatów Polskich	7	31-581
Kwiatów Polskich	7A	31-581
Nastrojowa	8	31-581
Juliana Tuwima	9	31-581
Nastrojowa	1	31-581
Konstantego Ildefonsa Gałczyńskiego	10	31-581
Konstantego Ildefonsa Gałczyńskiego	12	31-581
Juliana Tuwima	2	31-581
Konstantego Ildefonsa Gałczyńskiego	2	31-581
Kwiatów Polskich	2	31-581
Konstantego Ildefonsa Gałczyńskiego	2A	31-581
Konstantego Ildefonsa Gałczyńskiego	2B	31-581
Konstantego Ildefonsa Gałczyńskiego	2D	31-581
Konstantego Ildefonsa Gałczyńskiego	2E	31-581
Konstantego Ildefonsa Gałczyńskiego	2F	31-581
Nastrojowa	3	31-581
Juliana Tuwima	4	31-581
Kwiatów Polskich	4	31-581
Nastrojowa	5	31-581
Juliana Tuwima	6	31-581
Konstantego Ildefonsa Gałczyńskiego	6	31-581
Kwiatów Polskich	6	31-581
